Player Name,Position,College,consensus,beast_grade,br_article_grade,br_pro_comparison,p_real_contract,p_practice_only,p_out_of_league,sc_prediction,p_mocked_higher,p_mocked_near_consensus,p_mocked_lower,draft_prediction,text_source,has_br,has_pff
DJ Rogers,TE,TCU,317,6th-7th round,,,31.8,46.8,21.4,practice_only,33.0,12.8,54.2,mocked_lower,beast,False,False
Bryan Thomas,EDGE,South Carolina,318,Free Agent,,,9.0,72.8,18.2,practice_only,9.3,3.3,87.4,mocked_lower,beast,False,False
Jackson Kuwatch,EDGE,Miami (OH),319,7th round,,,7.4,43.5,49.1,out_of_league,6.8,6.1,87.1,mocked_lower,beast,False,False
Jordan Hudson,WR,SMU,320,6th-7th round,,,10.3,37.3,52.3,out_of_league,73.4,2.7,23.9,mocked_higher,beast,False,False
Jaylon Guilbeau,CB,Texas,322,7th round-Free,,,1.7,74.5,23.8,practice_only,13.8,3.3,82.9,mocked_lower,beast,False,False
Anterio Thompson,DL,Washington,323,6th-7th round,,,6.2,47.4,46.3,practice_only,6.9,7.2,85.9,mocked_lower,beast,False,False
Joey Aguilar,QB,Tennessee,324,7th round-​,,,12.2,49.8,38.1,practice_only,26.6,10.0,63.4,mocked_lower,beast,False,False
Alan Herron,IOL,Maryland,325,7th round-​,,,6.4,15.2,78.3,out_of_league,77.4,1.8,20.8,mocked_higher,beast,False,False
Josh Gesky,IOL,Illinois,326,7th round-​,,,8.5,38.5,52.9,out_of_league,11.3,2.9,85.8,mocked_lower,beast,False,False
Jaren Kanak,TE,Oklahoma,327,6th-7th round,,,3.0,71.5,25.5,practice_only,60.3,9.4,30.3,mocked_higher,beast,False,False
James Brockermeyer,IOL,Miami (FL),328,7th round-​,,,19.4,58.4,22.1,practice_only,28.3,10.6,61.1,mocked_lower,beast,False,False
Jaden Dugger,LB,Louisiana-Lafayette,329,7th round,,,26.1,48.6,25.3,practice_only,4.3,2.6,93.0,mocked_lower,beast,False,False
Riley Mahlman,OT,Wisconsin,330,Free Agent,,,5.6,41.0,53.4,out_of_league,9.7,4.2,86.1,mocked_lower,beast,False,False
Robert Henry,RB,UTSA,331,Free Agent,,,1.7,52.2,46.2,practice_only,82.3,0.7,17.1,mocked_higher,beast,False,False
Lake McRee,TE,USC,332,7th round,,,4.4,55.9,39.7,practice_only,46.8,7.4,45.8,mocked_higher,beast,False,False
Diego Pavia,QB,Vanderbilt,333,7th round-​,,,18.2,60.6,21.2,practice_only,45.3,12.7,42.0,mocked_higher,beast,False,False
Athan Kaliakmanis,QB,Rutgers,334,7th round-​,,,5.5,56.3,38.2,practice_only,10.3,7.6,82.2,mocked_lower,beast,False,False
Vinny Anthony,WR,Wisconsin,335,7th round-​,,,3.1,57.5,39.4,practice_only,89.8,0.7,9.5,mocked_higher,beast,False,False
Micah Pettus,OT,Florida State,336,Free Agent,,,4.2,57.8,38.0,practice_only,3.2,1.5,95.3,mocked_lower,beast,False,False
Bauer Sharp,TE,LSU,337,7th round,,,1.6,57.3,41.2,practice_only,34.3,5.1,60.6,mocked_lower,beast,False,False
Wade Woodaz,LB,Clemson,338,6th round,,,28.1,34.8,37.1,out_of_league,29.4,12.4,58.2,mocked_lower,beast,False,False
Dean Connors,RB,Houston,340,Free Agent,,,8.4,37.8,53.8,out_of_league,6.0,4.2,89.8,mocked_lower,beast,False,False
Khalil Dinkins,TE,Penn State,341,6th-7th round,,,3.5,79.8,16.7,practice_only,20.5,18.9,60.6,mocked_lower,beast,False,False
Lance Mason,TE,Wisconsin,342,7th round-​,,,10.0,50.4,39.6,practice_only,4.1,2.2,93.7,mocked_lower,beast,False,False
Ethan Onianwa,OT,Ohio State,343,Free Agent,,,6.5,49.0,44.6,practice_only,3.4,2.1,94.5,mocked_lower,beast,False,False
Jalen Stroman,S,Notre Dame,345,Free Agent,,,12.3,65.5,22.3,practice_only,4.8,2.2,93.0,mocked_lower,beast,False,False
